destinationStopName,destinationStopCategory,stage,observationDateTime,travelDistance,originStopName,fareForChild,fareForAdult,id,originDestinationCode,originStopCategory
VALAK GAM BRTS,BRT,7,2020-12-23T08:30:12+05:30,12.26836,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 4036,TERMINAL
SHREE KARAMSHIRAM BAPA ASHRAM,CBS,7,2020-12-23T08:30:12+05:30,12.26923,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 4379,TERMINAL
SACHIN GIDC JUNCTION,CBS,7,2020-12-23T08:30:12+05:30,12.33307,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6896,TERMINAL
COLOURTEX INDUSTRIES,CBS,7,2020-12-23T08:30:12+05:30,12.43955,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 7823,TERMINAL
DIPLI GAAM,CBS,7,2020-12-23T08:30:12+05:30,12.59787,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6501,TERMINAL
SAI PETROLEUM,CBS,7,2020-12-23T08:30:12+05:30,12.72758,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6897,TERMINAL
VASVARI LAKE,CBS,7,2020-12-23T08:30:12+05:30,12.74927,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6817,TERMINAL
BCA COLLEGE MASMA,CBS,7,2020-12-23T08:30:12+05:30,12.77919,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6803,TERMINAL
BUDIYA RWSS,CBS,7,2020-12-23T08:30:12+05:30,12.79875,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6502,TERMINAL
ANTROLI,CBS,7,2020-12-23T08:30:12+05:30,12.83809,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6881,TERMINAL
KRIBHCO NAGAR,CBS,7,2020-12-23T08:30:12+05:30,12.84665,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6959,TERMINAL
"RAGHUVIR ROW HOUSE, VALAK PATIYA BRTS",BRT,7,2020-12-23T08:30:12+05:30,12.8715,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6001,TERMINAL
GABHENI ROAD,CBS,7,2020-12-23T08:30:12+05:30,13.05517,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 7824,TERMINAL
VASVARI GAAM,CBS,7,2020-12-23T08:30:12+05:30,13.09452,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6818,TERMINAL
DUMAS KUVADA,CBS,7,2020-12-23T08:30:12+05:30,13.11259,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6108,TERMINAL
PALSANA CHOKDI,CBS,7,2020-12-23T08:30:12+05:30,13.14495,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6898,TERMINAL
GODHPUR TOWNSHIP,CBS,7,2020-12-23T08:30:12+05:30,13.35205,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6945,TERMINAL
PALIWAL BRTS,BRT Cabin,7,2020-12-23T08:30:12+05:30,13.41219,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 4061,TERMINAL
GOTHAN VASVAARI FAATA,CBS,7,2020-12-23T08:30:12+05:30,13.44686,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6819,TERMINAL
PP SAVANI SANKUL,CBS,7,2020-12-23T08:30:12+05:30,13.45093,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6829,TERMINAL
LASKANA GAM BRTS,BRT,7,2020-12-23T08:30:12+05:30,13.52158,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6002,TERMINAL
YOGESHWAR PARK SACHIN,CBS,7,2020-12-23T08:30:12+05:30,13.58581,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6899,TERMINAL
KHADSAD GAAM,CBS,7,2020-12-23T08:30:12+05:30,13.72063,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6871,TERMINAL
MASMA,CBS,7,2020-12-23T08:30:12+05:30,13.79255,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6804,TERMINAL
BUDIYA LAKE,CBS,7,2020-12-23T08:30:12+05:30,13.91664,CHOWK TERMINAL,9.0,17.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6503,TERMINAL
C.K.PITHAWALA ENG.COLLEGE,CBS,8,2020-12-23T08:30:12+05:30,14.01612,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6112,TERMINAL
PARDI KANDE,CBS,8,2020-12-23T08:30:12+05:30,14.03169,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6900,TERMINAL
DGVCL LASKANA BRTS,BRT,8,2020-12-23T08:30:12+05:30,14.04924,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6003,TERMINAL
BUDIYA GAAM,CBS,8,2020-12-23T08:30:12+05:30,14.20911,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6504,TERMINAL
LADVI GAM,CBS,8,2020-12-23T08:30:12+05:30,14.26089,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6882,TERMINAL
RAILWAY COLONY,CBS,8,2020-12-23T08:30:12+05:30,14.26332,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6960,TERMINAL
S K PARK SOCIETY KATHODARA,CBS,8,2020-12-23T08:30:12+05:30,14.46108,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6828,TERMINAL
SACHIN PRIMARY SCHOOL,CBS,8,2020-12-23T08:30:12+05:30,14.47964,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6901,TERMINAL
ISHANPOR,CBS,8,2020-12-23T08:30:12+05:30,14.48385,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6805,TERMINAL
SACHIN GIDC NAKA,BRT Cabin,8,2020-12-23T08:30:12+05:30,14.57644,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 4062,TERMINAL
BHARTHANA FAATA,CBS,8,2020-12-23T08:30:12+05:30,14.60532,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6830,TERMINAL
DIAMOND NAGAR BRTS,BRT,8,2020-12-23T08:30:12+05:30,14.61344,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6004,TERMINAL
VICTORIA PALM,CBS,8,2020-12-23T08:30:12+05:30,14.7545,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6691,TERMINAL
AWADH CAROLINA,CBS,8,2020-12-23T08:30:12+05:30,14.80908,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6113,TERMINAL
KATHODARA GAAM,CBS,8,2020-12-23T08:30:12+05:30,14.80941,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6872,TERMINAL
SIDDHI VINAYAK RESIDENCY SACHIN,CBS,8,2020-12-23T08:30:12+05:30,14.84253,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6902,TERMINAL
AGASHI MATA NU MANDIR,CBS,8,2020-12-23T08:30:12+05:30,14.87441,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6107,TERMINAL
KAKRAPAR CANAL ROAD,CBS,8,2020-12-23T08:30:12+05:30,14.9869,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 7904,TERMINAL
SANSKAR INDUSTRIAL ESTATE,CBS,8,2020-12-23T08:30:12+05:30,15.0688,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6820,TERMINAL
SHUKAN VALLEY RESIDENCY,CBS,8,2020-12-23T08:30:12+05:30,15.08076,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6946,TERMINAL
VARELI,CBS,8,2020-12-23T08:30:12+05:30,15.2012,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6883,TERMINAL
NTPC,CBS,8,2020-12-23T08:30:12+05:30,15.20866,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6961,TERMINAL
SHIVDARSHAN COMPLEX SACHIN,CBS,8,2020-12-23T08:30:12+05:30,15.2259,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6917,TERMINAL
CHAMUNDA NAGAR SOCIETY,CBS,8,2020-12-23T08:30:12+05:30,15.28025,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6831,TERMINAL
DIAMOND VIDHYA SANKUL BRTS,BRT,8,2020-12-23T08:30:12+05:30,15.29154,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6005,TERMINAL
KAADI FALIYA FAATA,CBS,8,2020-12-23T08:30:12+05:30,15.307,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6115,TERMINAL
CYANIDE CHEMICALS,CBS,8,2020-12-23T08:30:12+05:30,15.3957,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6806,TERMINAL
GABHENI GAAM,CBS,8,2020-12-23T08:30:12+05:30,15.44679,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 7825,TERMINAL
SAMARPAN HOSPITAL,CBS,8,2020-12-23T08:30:12+05:30,15.51019,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6993,TERMINAL
AWADH COPPERSTONE,CBS,8,2020-12-23T08:30:12+05:30,15.5585,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6114,TERMINAL
ABRAMA GAAM,CBS,8,2020-12-23T08:30:12+05:30,15.69464,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6832,TERMINAL
DELAAD TALAAV,CBS,8,2020-12-23T08:30:12+05:30,15.70191,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6821,TERMINAL
PARSIWAD,CBS,8,2020-12-23T08:30:12+05:30,15.71819,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6106,TERMINAL
BHIMPORE FAATA,CBS,8,2020-12-23T08:30:12+05:30,15.7285,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6692,TERMINAL
APPAREL PARK FAATA,CBS,8,2020-12-23T08:30:12+05:30,15.77383,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6919,TERMINAL
GOTHAN BRIDGE,CBS,8,2020-12-23T08:30:12+05:30,15.83818,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 7903,TERMINAL
SARASWATI HINDI VIDYA MANDIR,CBS,8,2020-12-23T08:30:12+05:30,15.84258,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6994,TERMINAL
PASODARA GAM CHAR RASTA BRTS,BRT,8,2020-12-23T08:30:12+05:30,15.97003,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6006,TERMINAL
KAADI FALIYA DUMAS,CBS,8,2020-12-23T08:30:12+05:30,16.09215,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6105,TERMINAL
CHEHAR MATA TEMPLE,CBS,8,2020-12-23T08:30:12+05:30,16.11966,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6947,TERMINAL
DELAAD INDUSTRIAL ESTATE,CBS,8,2020-12-23T08:30:12+05:30,16.12522,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6822,TERMINAL
KUNJ GALI,CBS,8,2020-12-23T08:30:12+05:30,16.13965,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6693,TERMINAL
VELANJA ABRAMA ROAD,CBS,8,2020-12-23T08:30:12+05:30,16.14966,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6833,TERMINAL
KANAKPUR PRIMARY SCHOOL,CBS,8,2020-12-23T08:30:12+05:30,16.22037,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6995,TERMINAL
KADODARA,CBS,8,2020-12-23T08:30:12+05:30,16.25042,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6884,TERMINAL
GUJARAT GAS COMPANY LTD. MORA,CBS,8,2020-12-23T08:30:12+05:30,16.25478,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6962,TERMINAL
LAJPORE JAIL,CBS,8,2020-12-23T08:30:12+05:30,16.31689,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6918,TERMINAL
SHYAM NAGAR BRTS,BRT,8,2020-12-23T08:30:12+05:30,16.41742,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6007,TERMINAL
MOTI BAJAR DUMAS,CBS,8,2020-12-23T08:30:12+05:30,16.47515,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6104,TERMINAL
PASODARA GAAM,CBS,8,2020-12-23T08:30:12+05:30,16.47998,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6948,TERMINAL
SURBHI SOCIETY,CBS,8,2020-12-23T08:30:12+05:30,16.50597,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6964,TERMINAL
SACHIN RAILWAY STATION,BRT,8,2020-12-23T08:30:12+05:30,16.50898,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 7901,TERMINAL
BAPS TEMPLE KANAKPUR,CBS,8,2020-12-23T08:30:12+05:30,16.54143,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6996,TERMINAL
DELAAD PATIYA,CBS,8,2020-12-23T08:30:12+05:30,16.568,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6823,TERMINAL
DUMAS LANGAR,CBS,8,2020-12-23T08:30:12+05:30,16.64715,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6694,TERMINAL
SHREE GYANJYOT VIDHYALAY,CBS,8,2020-12-23T08:30:12+05:30,16.70825,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6949,TERMINAL
OLPAD GIDC,CBS,8,2020-12-23T08:30:12+05:30,16.79533,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6807,TERMINAL
KIRAN RESIDENCY,CBS,8,2020-12-23T08:30:12+05:30,16.7982,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 7902,TERMINAL
JB & KARP VIDHYA SANKUL,CBS,8,2020-12-23T08:30:12+05:30,16.86281,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6965,TERMINAL
NANI BAJAR DUMAS,CBS,8,2020-12-23T08:30:12+05:30,16.88585,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6103,TERMINAL
MAHAVIR COMPLEX DELAAD PATIYA,CBS,8,2020-12-23T08:30:12+05:30,16.97956,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6824,TERMINAL
SULTANABAD,CBS,8,2020-12-23T08:30:12+05:30,17.02529,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6698,TERMINAL
KAMREJ GSRTC BRTS,BRT,8,2020-12-23T08:30:12+05:30,17.0362,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6008,TERMINAL
MORA TEEN RASTA,CBS,8,2020-12-23T08:30:12+05:30,17.12597,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6991,TERMINAL
UMRA NAKA,CBS,8,2020-12-23T08:30:12+05:30,17.21838,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6958,TERMINAL
MAHA LAKSHMI TEMPLE,CBS,8,2020-12-23T08:30:12+05:30,17.24566,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6102,TERMINAL
VAGESHWARI TEMPLE,CBS,8,2020-12-23T08:30:12+05:30,17.27557,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6834,TERMINAL
BHIMPORE,CBS,8,2020-12-23T08:30:12+05:30,17.29,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6109,TERMINAL
SHLOK RESIDENCY,CBS,8,2020-12-23T08:30:12+05:30,17.33414,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6966,TERMINAL
KAMREJ TERMINAL BRTS,BRT,8,2020-12-23T08:30:12+05:30,17.35576,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6009,TERMINAL
SAHYOG SOCIETY SAYAN,CBS,8,2020-12-23T08:30:12+05:30,17.36834,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6825,TERMINAL
KAKRAPAR CANAL ROAD JUNCTION,CBS,8,2020-12-23T08:30:12+05:30,17.41413,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6847,TERMINAL
SULTANABAD AAMBAWADI,CBS,8,2020-12-23T08:30:12+05:30,17.44599,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6699,TERMINAL
SAYAN FAATA,CBS,8,2020-12-23T08:30:12+05:30,17.46856,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6808,TERMINAL
SHIV PARK RESIDENCY,CBS,8,2020-12-23T08:30:12+05:30,17.54359,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6957,TERMINAL
AROGYA KENDRA,CBS,8,2020-12-23T08:30:12+05:30,17.65874,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6101,TERMINAL
D.R.G.D HIGH SCHOOL SAYAN,CBS,8,2020-12-23T08:30:12+05:30,17.76736,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6826,TERMINAL
BILAL MASJID OLPAD,CBS,8,2020-12-23T08:30:12+05:30,17.78775,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6809,TERMINAL
BAPUJI NI WADI,CBS,8,2020-12-23T08:30:12+05:30,17.84809,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6700,TERMINAL
SHYAM ROW HOUSE,CBS,8,2020-12-23T08:30:12+05:30,17.8733,CHOWK TERMINAL,10.0,20.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6848,TERMINAL
BAPA SITARAM PETROL PUMP,CBS,9,2020-12-23T08:30:12+05:30,18.07468,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6956,TERMINAL
MORA CHAR RASTA,CBS,9,2020-12-23T08:30:12+05:30,18.12916,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6963,TERMINAL
KAILASH DHAM,CBS,9,2020-12-23T08:30:12+05:30,18.13726,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6835,TERMINAL
KASBA MOHALLA OLPAD,CBS,9,2020-12-23T08:30:12+05:30,18.18392,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6810,TERMINAL
SUKH SAGAR,CBS,9,2020-12-23T08:30:12+05:30,18.19507,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6849,TERMINAL
SAURASHTRA GREEN CITY,CBS,9,2020-12-23T08:30:12+05:30,18.4654,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6955,TERMINAL
OLPAD BUS DEPOT,CBS,9,2020-12-23T08:30:12+05:30,18.47276,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6811,TERMINAL
SAYAN RAILWAY STATION,CBS,9,2020-12-23T08:30:12+05:30,18.48174,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6827,TERMINAL
RUKSHMANI PARK SOCIETY,CBS,9,2020-12-23T08:30:12+05:30,18.49552,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6836,TERMINAL
PRANAM RESIDENCY 1,CBS,9,2020-12-23T08:30:12+05:30,18.62737,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6850,TERMINAL
LALWATALAAV OLPAD,CBS,9,2020-12-23T08:30:12+05:30,18.72116,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6812,TERMINAL
MADHUVAN PUBLIC SCHOOL APPROACH,CBS,9,2020-12-23T08:30:12+05:30,18.7881,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6954,TERMINAL
NANDGHAR ANGANVADI OLPAD,CBS,9,2020-12-23T08:30:12+05:30,18.88005,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 7801,TERMINAL
PRANAM RESIDENCY,CBS,9,2020-12-23T08:30:12+05:30,18.90306,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6952,TERMINAL
RANGOLI CHOKADI,CBS,9,2020-12-23T08:30:12+05:30,18.9196,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6951,TERMINAL
VELANJA GAAM FAATA,CBS,9,2020-12-23T08:30:12+05:30,19.04256,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6837,TERMINAL
NILKANTH ARCADE,CBS,9,2020-12-23T08:30:12+05:30,19.11691,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6842,TERMINAL
SHIV ASTHA ARCADE,CBS,9,2020-12-23T08:30:12+05:30,19.19461,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6844,TERMINAL
OLPAD COURT,CBS,9,2020-12-23T08:30:12+05:30,19.26157,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 7802,TERMINAL
KATHOR GAAM APPROACH,CBS,9,2020-12-23T08:30:12+05:30,19.2812,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6846,TERMINAL
AVSHAR BUNGALOW,CBS,9,2020-12-23T08:30:12+05:30,19.32882,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6953,TERMINAL
KATHOR GAAM,CBS,9,2020-12-23T08:30:12+05:30,19.54941,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6838,TERMINAL
VELANJA GAAM,CBS,9,2020-12-23T08:30:12+05:30,19.56262,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6950,TERMINAL
VELANJA GAAM PANCHAYAT,CBS,9,2020-12-23T08:30:12+05:30,19.5778,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 7906,TERMINAL
ARTS AND COMMERCE COLLEGE OLPAD,CBS,9,2020-12-23T08:30:12+05:30,19.72707,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 7803,TERMINAL
VELANJA POST OFFICE,CBS,9,2020-12-23T08:30:12+05:30,19.84107,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6845,TERMINAL
MAI SCHOOL,CBS,9,2020-12-23T08:30:12+05:30,20.00169,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6839,TERMINAL
SHREE KRISHNA RESIDENCY,CBS,9,2020-12-23T08:30:12+05:30,20.09145,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 6843,TERMINAL
RAMVATIKA SOCIETY,CBS,9,2020-12-23T08:30:12+05:30,20.33122,CHOWK TERMINAL,11.0,22.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,20 - 7905,TERMINAL
